name,full_name,team,place_of_birth,eye_color,hair_color,base
Gambit,Remy Etienne LeBeau,X-men,New Orleans - Louisiana,Red,Brown,(current) Xavier Institute; Salem Center; Westchester County; New York; (former) New Orleans; Louisiana; Paris; France; Cairo; Illinois;
Black Panther,T'Challa,Avengers,Wakanda - Africa,Brown,Black,Wakanda; Mobile
Iron Fist,Daniel Thomas Rand-K'ai,Defenders,-,Blue,Blond,New York
Invisible Woman,Susan Storm Richards,Fantastic Four,Glenville - Long Island - New York,blue,Blond,Pier Four; New York City
Beast,Henry Philip McCoy,X-men,Dunfee - Illinois,Blue,Blue,Xavier Institute; Salem Center; Westchester County; New York
Storm,Ororo Munroe,X-men,New York - New York,Blue,White,Xavier Institute; Salem Center; Westchester County; New York State
Atlas,Erik Stephan Josten,Thunderbolts,Milwaukee - Wisconsin,Brown,Red,-
Hulk,Robert Bruce Banner,Avengers,Dayton - Ohio,Green,Green,(Banner) Hulkbuster Base; New Mexico; (Hulk) mobile; but prefers New Mexico
Moonstone,Dr. Karla Sofen,Thunderbolts,Van Nuys - California,Blue,Blond,formerly Mount Charteris; Four Freedoms Plaza
Scarlet Witch,Wanda Maximoff,X-men,Wundagore Mountain - Transia,Blue,Brown,Mobile; formerly The Works; Avengers Compound; California; Avengers Mansion; New York
Wolverine,James Howlett,X-men,Alberta (Canada - North America),Blue,Black,Xavier Institute; Salem Center; Westchester County; New York
Cyclops,Scott Summers,X-men,Anchorage - Alaska,Brown,Brown,Xavier Institute; Salem Center; Westchester County; New York
Mister Fantastic,Reed Richards,Fantastic Four,Central City - California,Brown,Brown,New York City
Captain America,Steven Grant Rogers,Avengers,Manhattan - New York City - New York,blue,blond,New York City
Jean Grey,Jean Grey-Summers,X-men,-,Green,Red,Xavier Institute of Higher Learning; Westchester County; New York
Vision,Vision,Avengers,-,Gold,No Hair,Mobile. Formerly Avengers Mansion; New York City and Avengers Compound
Juggernaut,Cain Marko,Thunderbolts,Berkeley - California,Blue,Red,-
Rogue,Anna Marie,X-men,Caldecott County - Mississippi,Green,Brown / White,-
Jessica Jones,Jessica Campbell Jones Cage,Defenders,Forrest Hills - New York City,Brown,Brown,New York City
Daredevil,Matthew Michael Murdock,Defenders,New York City - New York,Blue,Red,Hell's Kitchen; New York; Shadowland (formerly)
Thor,Thor Odinson,Avengers,Asgard,Blue,Blond,New York; New York
Human Torch,Jonathan Lowell Spencer Storm,Fantastic Four,Glenville - Long Island - New York,Blue,Blond,Pier Four; New York City
Iron Man,Anthony Edward Stark,Avengers,Long Island - New York,Blue,Black,Seattle; Washington
Thing,Benjamin Jacob Grimm,Fantastic Four,New York City - New York,Blue,No Hair,Baxter Building; New York City; New York (formerly) Four Freedoms Plaza; Pier Four;
Luke Cage,Luke Cage,Defenders,Harlem - New York City,Brown,Black,-
Songbird,Melissa Joan Gold,Thunderbolts,Shoshoni - Wyoming,Green,Red / White,-
Emma Frost,Emma Frost,X-men,Boston - Massachusetts,Blue,Blond,(current) Emma Frost operates from the Massachusetts Academy; Snow Valley; Massachusetts; (former) Hellfire Club mansion in New York City; a home in the Berkshire Mountains in Massachusetts (near the Massachusetts Academy); and places of residence in vari
Nick Fury,Nicholas Joseph Fury,Unaffiliated,New York City,Brown,Brown / White,-
